notice,name,inst_type,entity,permco,dt_start,dt_end
"The PERMCOs displayed herein are used with the permission of the Center for Research in Security Prices (CRSP®), Graduate School of Business, The University of Chicago. PERMCO® is a registered trademark of The University of Chicago.",,,,,,
"The University of Chicago and CRSP make no warranty of any kind, express or implied, with respect to the validity, merchantability, fitness, condition, use or appropriateness of the PERMCOs or the links to the PERMCOs displayed herein.",,,,,,
,"Compass Bankcshares, Inc.",Bank Holding Company,1078529,780,19900101,20070928
,Countrywide Financial Corporation,Bank Holding Company,2549857,796,19900101,20080731
,Unionbancal Corporation,Bank Holding Company,1378434,841,19960401,20081128
,Bancwest Corporation,Bank Holding Company,1025608,1718,19900101,20011231
,First Regional Bancorp,Bank Holding Company,1029428,2026,19900101,20090930
,"Corus Bankshares, Inc.",Bank Holding Company,1200393,2343,19900101,20090630
,Sei Inv Co,Thrift holding company,1274974,4040,19810331,20120930
,"Colonial Bancgroup, Inc., The",Bank Holding Company,1080465,4128,19900101,20090630
,Washington Fed Inc,Thrift holding company,3065617,5679,19950203,20120930
,Raymond James Fncl,Bank holding company,3815157,6137,19940513,20120930
,First Fncl Hold,Bank holding company,1890507,6545,19910601,20120930
,Bank Of Granite Corporation,Bank Holding Company,1143481,7070,19900101,20110630
,"Commerce Bancorp, Llc",Bank Holding Company,1117679,7263,19900101,20071231
,"W Holding Company, Inc.",Bank Holding Company,2801546,7427,19900101,20090930
,Nasb Fncl,Thrift holding company,3841941,7764,19980401,20120930
,T Rowe Price Group Inc,Thrift holding company,3045084,8087,20001228,20120930
,"Great Lakes Bancorp, Inc.",Bank Holding Company,3180640,8164,20060501,20070930
,New Hampshire Thrift Bshrs,Thrift holding company,3575750,8217,19890613,20120930
,"Amcore Financial, Inc.",Bank Holding Company,1208661,8224,19900101,20091231
,"San Francisco Company, The",Bank Holding Company,1029286,8346,19900101,19950331
,Commercebancorp,Bank Holding Company,1246917,8535,19900101,19940630
,"Hamptons Bancshares, Inc.",Bank Holding Company,1048924,8667,19900101,19940331
,Wsfs Fncl Corp,Thrift holding company,3844269,8766,19880721,20120930
,"Pinnacle Bancshares, Inc.",Bank Holding Company,2520605,8848,19900101,20071231
,People'S Mutual Holdings,Commercial Bank,1246702,9847,19900101,20070416
,"People'S United Financial, Inc.",Bank Holding Company,3650152,9847,20070416,20120930
,W S B Holdings Inc,Thrift holding company,3833003,9884,20080103,20120930
,Community Fc,Thrift holding company,3834738,10207,19960930,20120930
,Capitol Bancorp Ltd.,Bank Holding Company,1247334,10388,19900101,20101231
,Esb Fncl Corp,Thrift holding company,1924925,10637,19910731,20120930
,Sws Grp,Thrift holding company,3823031,11148,20000428,20120930
,Far East National Bank,Commercial Bank,676160,11395,19900101,19950930
,Hf Fc,Thrift holding company,2500700,11459,19920430,20120930
,Pvf Capital Corp,Thrift holding company,3828652,11888,19941031,20120930
,Wayne Savings Bancshares Inc New,Thrift holding company,3271203,12221,20030108,20120930
,"George Mason Bankshares, Inc.",Bank Holding Company,1134685,12256,19900101,19971231
,First Defiance Fncl Corp,Thrift holding company,3316917,12289,19940925,20120930
,Riverview Bc,Thrift holding company,3180060,12503,19970623,20120930
,Astoria Fc,Thrift holding company,2504128,12591,19931130,20120930
,Pulaski Financial Corp,Thrift holding company,3832828,13061,19981202,20120930
,Hmn Fncl,Thrift holding company,2500719,13187,19940630,20120930
,Tf Fncl Corp,Thrift holding company,2499822,13204,19940729,20120930
,Carver Bc,Thrift holding company,2531245,13396,19961017,20120930
